"max_binge_drinking_2012.state","max_binge_drinking_2012.max(both_sexes_2012)"
Alabama,16.9
Alaska,27.6
Arizona,22.7
Arkansas,19.2
California,24.0
Colorado,31.9
Connecticut,21.6
Delaware,20.9
District Of Columbia,22.0
Florida,25.0
Georgia,18.4
Hawaii,22.6
Idaho,29.2
Illinois,32.6
Indiana,24.6
Iowa,32.3
Kansas,24.0
Kentucky,27.3
Louisiana,23.0
Maine,22.1
Maryland,24.0
Massachusetts,24.1
Michigan,33.3
Minnesota,30.6
Mississippi,18.5
Missouri,24.4
Montana,33.2
National,18.3
Nebraska,35.2
Nevada,33.8
New Hampshire,22.4
New Jersey,22.6
New Mexico,20.1
New York,23.0
North Carolina,20.1
North Dakota,34.2
Ohio,27.1
Oklahoma,18.0
Oregon,23.6
Pennsylvania,28.1
Rhode Island,23.2
South Carolina,23.6
South Dakota,32.8
Tennessee,16.3
Texas,35.5
Utah,18.0
Vermont,23.4
Virginia,25.6
Washington,21.4
West Virginia,16.0
Wisconsin,36.0
Wyoming,27.2
